,title,price,link
0,"ASUS Vivobook 16, IntelCore i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS  ","32,990",https://www.amazon.in/ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_40?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.fj70g8iIxpPA-eCas2tVBm6znxygCaATt3gvyCFhCFHigeW_KP8E8eDLvRoQbt9GT4bzBFv_i_q95EogZrCa1-B2Xnaqk9mXWi5GTbwgaxC_u2Bwv9CkEB8WD1w6xvhAbZGoOFXZzRDIhc0RZRBIEMLZrgdg4TrddtJ2iJWUu4zU7JpJzaQ6sFXXRhLqr9Ce2rLjIueYdkviaetQDZNno_iDer7FhzL4KVXPvohutYo.Aj1AIiQcy8z6ArHIiN2yr7MiYSParX-6mhx3wteTSGo&dib_tag=se&keywords=laptop&qid=1730186782&sprefix=laptop%2Caps%2C378&sr=8-40
1,"HP Laptop 14, Intel Core Ultra 5 125H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1022TU  ","67,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzIzNzcxMDQ4MDg1MDY2OjE3MzAxODY3OTQ6c3BfYXRmX25leHQ6MzAwMzQxOTkzMTk1MjMyOjowOjo&url=%2FHP-14-inch-Graphics-Privacy-gr1022TU%2Fdp%2FB0D8J8H131%2Fref%3Dsr_1_113_sspa%3Fcrid%3D41SB5GHTV11B%26dib%3DeyJ2IjoiMSJ9.MJTkADHg-ZZLVxUOTvZdYpi-bBmC0Y5DtsYvYvTEja-zbsn9f31_t8As2Ygkna7PqtKKK4WKDj4UtGaUZQ2m2-dy2O6UnobLfnL8puz_Y1yZFOOoN9TBcJWUPn0gDw7inuvMQ9fmuAOeWakO9ncllRJVlxjhIK5t6H8nThwqDuVlUgBThDGeAaTZWP0-TDThYc9pnIr0-Yi7Q4dLZk1_QZDQECMQEANg7DFxLTv5uJQ.L7FWNzXP3rkgLsfar2_ai4qAbUSgZjgOIrxIJzV31TI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730186794%26sprefix%3Dlaptop%252Caps%252C378%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 4050/Windows 11/90WHr/Mecha Gray/2.2 Kg), FA507NUR-LP082W  ","79,990",https://www.amazon.in/ASUS-15-6-inch-GeForce-Windows-FA507NUR-LP082W/dp/B0D5DCSNM1/ref=sr_1_291?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.IJMOL2PVw4_rII0EE3x1E0eNWLDQ4CWugx-X0oZq_aUXhPkjG2ALufV04EcCtwrfQhHn_0K8ArTHOXKLO1n5n9fRGvjOWg-8ApRcBxJmiRifgiKa8L3zhtAQg6mZyeE4BloMREbpKOFe6UN8c7WiA6ZqNxfLb0Rw6yIgicWsTpcIYxRKKmGwFYpFK6mFhJNC5qiIXZXySxhduVeyJYPf491ggOvi4RyN_TW83k5eWQY.ZxVvMO3qfZH3uhiUxanSaIC14gYzDlI0CLfSIiA7L1k&dib_tag=se&keywords=laptop&qid=1730186821&sprefix=laptop%2Caps%2C378&sr=8-291
3,"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM, 144Hz Display (16GB DDR5/1TB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51  ","78,990",https://www.amazon.in/Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CQP4T1JV/ref=sr_1_270?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.A01KT_MGhXp-2ZkA1vg1bXAE0_Yd51Xa7LPUjL4D4wy7pc3rLAn221ajqb5M-GzxPRQhGRg44xaFhUuRywfnLzTXY0UINpdrU6PL9bby8g5IHMCMUsEQdIL0weZhchrzbYW1E--TRouYdC5YK85MWA5bG7mghaKpKSDriwkjfkw3cIdnZvWD71gRhapabf70HVUgrBRhyE6aLWNDnHJ4HfLt11eYGfMR5ostRUDBwL8.7fYEeIXnMMTlmd1dVpEutcwcLvwqT8eHXY_9hL52IAg&dib_tag=se&keywords=laptop&qid=1730186817&sprefix=laptop%2Caps%2C378&sr=8-270
4,"Dell G15 5530 Gaming Laptop, Intel i9-13900HX,16GB DDR5,1TB SSD,NVIDIA RTX 4060-8GB GDDR6, 15.6"" (39.62cm) FHD 165Hz,NVIDIA G-SYNC+DDS Display,Win 11, Backlit Keyboard 4-Zone,Dark Shadow Gray, 2.65 Kg  ","1,49,990",https://www.amazon.in/Dell-i9-13900HX-4060-8GB-39-62cm-Keyboard/dp/B0CN1L7XS2/ref=sr_1_162?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.OXREnuKaLLhh5fuTLoSW-B3MynyUh43N5YtQi-NADflToS7Qzvt89LFy6p_E9WoKIwrNb4RmYJs3VfpS4C57AySWoqVeq7LiT2HyWmakiBle6XKOjqU2eLQxA4RTx2WAkHdmmXE0YtMC4mtXJqgOGF2RYZa7PoNZm8l2_6yx2-SbONK7REQD_8_PxPp-1XD0fOm_CqDOR7ztOwweT8LOLGVuADfd027Q0mNim_3xki0.6zrFgqQ5Mo4nXaIxD4wZbESpkPa0MG_CgYq5t25yoVQ&dib_tag=se&keywords=laptop&qid=1730186799&sprefix=laptop%2Caps%2C378&sr=8-162
5,"ASUS Vivobook 15, Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, 60Hz, Thin and Light Laptop (16GB RAM/512GB/Windows 11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS  ","48,990",https://www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_133?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.Lb9yCXu4IUr_fDVGpA9Jy98unymVJCiYstnbwxRTRlJYeT8-1Lx21KLjxD8OYDP6AFrbhkWvrVQfENNSJsXokLAtPnTDdN2aN0SOjgDNz4e-Dzi9wEdH61KI2S5qg6G05nG_K6xRTHUcuC0EOGESOVPuQUWdMke-MFnMpjIiKOqfUqoDPqbLR4IGM2UoiiZHE5DlDRm0H9POn_gSjRtQ6S4ugZx-Pia3HI1QuDu2QvQ.elgA_l_pQvrvMU1erohajCnsj_3L2tI1s2MuvyAKPQA&dib_tag=se&keywords=laptop&qid=1730186797&sprefix=laptop%2Caps%2C378&sr=8-133
6,"ASUS TUF Gaming, 14"" FHD, 165Hz 400 nits, AMD Ryzen AI 9 HX 370 Processor 2.0GHz, Gaming Laptop (32GB RAM/2TB SSD/NVIDIA GeForce RTX 4060/Windows 11/Office 2021//Jaeger Gray/1.46 Kg), FA401WV-RG037WS  ","1,69,990",https://www.amazon.in/ASUS-Processor-GeForce-Windows-FA401WV-RG037WS/dp/B0DBLMYJJ6/ref=sr_1_81?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.f2bS49Jkg2_7Q1hkG2Q5B0rnhuN6by0ecZ-z8NzeB98qRTeH0EbqFzYJcVsvrE0kF-ZsZCeCmip4F9dBYN2lLUevsjdYi6JctJtEiLzKTUdI1mwZKfpOS-SNf-81F74-VyVTJ242nkAHFbeFxYMRzM304V4e7pcP7rha72rWwcFeW8Uzx_X_GzkrgobEerdOQVuvj2GRnqtDiThyLAVxvRannu_3bUQgs0rXg1x8Qus.DFc13h2g9hlCdG69f-It8Ya6KAi0TDL36NEb9BT67NM&dib_tag=se&keywords=laptop&qid=1730186787&sprefix=laptop%2Caps%2C378&sr=8-81
7,"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 11,WiFi 6,Webcam,BT 5.2,HDMI Port,38Wh, 1.74kg (Iron Gray)  ","18,990",https://www.amazon.in/Chuwi-HeroBook-Plus-Processor-Graphics/dp/B0D9QQ7SS1/ref=sr_1_144?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.Lb9yCXu4IUr_fDVGpA9Jy98unymVJCiYstnbwxRTRlJYeT8-1Lx21KLjxD8OYDP6AFrbhkWvrVQfENNSJsXokLAtPnTDdN2aN0SOjgDNz4e-Dzi9wEdH61KI2S5qg6G05nG_K6xRTHUcuC0EOGESOVPuQUWdMke-MFnMpjIiKOqfUqoDPqbLR4IGM2UoiiZHE5DlDRm0H9POn_gSjRtQ6S4ugZx-Pia3HI1QuDu2QvQ.elgA_l_pQvrvMU1erohajCnsj_3L2tI1s2MuvyAKPQA&dib_tag=se&keywords=laptop&qid=1730186797&sprefix=laptop%2Caps%2C378&sr=8-144
8,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO 21/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VTIN  ","35,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_243?crid=41SB5GHTV11B&dib=eyJ2IjoiMSJ9.6dsUixTUo0XbbSP6e2yx4ImwMBRCtnF9dKXfyNz92Dv-PkgCYlJWGpuSvH1psvDwBhfVby2V0OY7cns0C9tj3YtDzgQ-hqu-TG_k9ir_Z3JZxkjssHcFIGFX6jYvm_3GCS8Z-R_5NJHx9GPy08arSUyopFQulJjzxb2Kj_Za2V7kPtT95stXif6KWDU9lN3Fv04L9uXqDOKqpu25KmotifZgmXQKelHtwprjzgKXl7Y.Z2pal9dRoqJrhrtw7KXE2nHav6jYwQlvTXI-PZB6kgA&dib_tag=se&keywords=laptop&qid=1730186815&sprefix=laptop%2Caps%2C378&sr=8-243
9,"(Refurbished) HP EliteBook 820 G3 12.5 Inch Display,Intel core i5-6th Gen, 8gb Ram, 256gb Ssd,Windows 10 Pro, MS Office 2019,Silver  ","14,851",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjA0MTc5MjA4MDI4NTA1OjE3MzAxODY4MTI6c3BfYnRmOjMwMDEzMzkzMjUzNTEzMjo6MDo6&url=%2FRefurbished-HP-EliteBook-820-G3%2Fdp%2FB0CV134NKM%2Fref%3Dsr_1_246_sspa%3Fcrid%3D41SB5GHTV11B%26dib%3DeyJ2IjoiMSJ9.Mu61DVPX7gfddkSKiV1x9XAxwVdfkmRWsr8hysJa-PAFFUQXslXG96xpsXr31rAq4Co0nwnL-XDG6Aszo32jSXiN7pKaF5qU_JPBLTu68c42K_s9CeLRHXgVooxFE1S24jIk0IBtp4KlskyPwK41D6EsWlfemtLrxbcIbQ4SarAIS4hh1wlEo6QPJeDvnlrvufKlrYH8oatezLCMCxQ8sXODu-mHeVA1gpaJc6_qWNU.s61g-4slhcaHApijlwerZlVMocKw55gZ2BR-OXc5xjA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730186812%26sprefix%3Dlaptop%252Caps%252C378%26sr%3D8-246-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
